,precision,recall,f1-score,support,Timestamp
Bacterial Spot,1.0,0.02,0.0392156862745098,50.0,20250331-155928
Cercospora Leaf Spot,0.4111111111111111,0.7708333333333334,0.5362318840579711,48.0,20250331-155928
Common Rust,0.5833333333333334,0.14583333333333334,0.23333333333333334,48.0,20250331-155928
Early Blight,0.32941176470588235,0.5714285714285714,0.417910447761194,49.0,20250331-155928
Healthy,0.2682926829268293,0.6875,0.38596491228070173,48.0,20250331-155928
Late Blight,0.4925373134328358,0.673469387755102,0.5689655172413793,49.0,20250331-155928
Northern Leaf Blight,0.3,0.125,0.17647058823529413,48.0,20250331-155928
Septoria Leaf Spot,0.4,0.23529411764705882,0.2962962962962963,51.0,20250331-155928
Yellow Leaf Curl Virus,0.8,0.23076923076923078,0.3582089552238806,52.0,20250331-155928
accuracy,0.38148984198645597,0.38148984198645597,0.38148984198645597,0.38148984198645597,20250331-155928
macro avg,0.5094095783899991,0.38445866380740334,0.33473306896717336,443.0,20250331-155928
weighted avg,0.5130629502090708,0.38148984198645597,0.33406708316287786,443.0,20250331-155928
