,precision,recall,f1-score,support
Bacterial Spot,0.75,0.06,0.1111111111111111,50.0
Cercospora Leaf Spot,0.3780487804878049,0.6458333333333334,0.47692307692307695,48.0
Common Rust,0.75,0.1875,0.3,48.0
Early Blight,0.21390374331550802,0.8163265306122449,0.3389830508474576,49.0
Healthy,0.39215686274509803,0.4166666666666667,0.40404040404040403,48.0
Late Blight,0.6875,0.4489795918367347,0.5432098765432098,49.0
Northern Leaf Blight,0.24,0.1276595744680851,0.16666666666666666,47.0
Septoria Leaf Spot,0.25,0.23529411764705882,0.24242424242424243,51.0
Yellow Leaf Curl Virus,1.0,0.019230769230769232,0.03773584905660377,52.0
accuracy,0.3257918552036199,0.3257918552036199,0.3257918552036199,0.3257918552036199
macro avg,0.5179565985053789,0.32861006486609917,0.2912326975125302,442.0
weighted avg,0.5218747834788219,0.3257918552036199,0.2887522396648381,442.0
